"user_id","first_name","last_name","email","password_hash","role","level","xp_points","date_created"
1,"Admin","User","admin@gmail.com","scrypt:32768:8:1$eB5hBpQyatghdmSO$e1e9bbe32672232971b492b2712c94be11e0b90ef38c2f90f36451d608f96e9af05cbc6ebdd8105b83c734e436fa5a7a7072607340971d48f606b9f5a60629ef","admin",1,0,"2025-12-13 06:44:27.473460"
2,"Viewer","User","viewer@gmail.com","scrypt:32768:8:1$E8pd22j6EkacsQI2$d9d33fd717d8ada9a4dc7182c4d9ded1d9b938ba69926d06307aabf97cb310d9f5640a092bb3f9a16bdc03e5e8c71605cd94d0b9ac73d7d76e45b8290be4fa96","viewer",1,0,"2025-12-13 06:44:27.473710"
4,"Maria","Santos","maria@gmail.com","hash","player",2,120,"2025-01-02 09:10:00"
5,"Jose","Reyes","jose@gmail.com","hash","viewer",1,30,"2025-01-03 10:20:00"
6,"Ana","Garcia","ana@gmail.com","hash","operator",3,300,"2025-01-04 11:30:00"
7,"Pedro","Torres","pedro@gmail.com","hash","player",1,20,"2025-01-05 08:15:00"
8,"Luis","Mendoza","luis@gmail.com","hash","player",2,180,"2025-01-06 09:25:00"
9,"Carla","Flores","carla@gmail.com","hash","viewer",1,40,"2025-01-07 10:35:00"
10,"Mark","Navarro","mark@gmail.com","hash","player",3,260,"2025-01-08 11:45:00"
11,"Paolo","Ramos","paolo@gmail.com","hash","operator",4,450,"2025-01-09 13:00:00"
12,"Rina","Castillo","rina@gmail.com","hash","player",2,150,"2025-01-10 14:10:00"
13,"Joel","Aquino","joel@gmail.com","hash","viewer",1,25,"2025-01-11 15:20:00"
14,"Nina","Valdez","nina@gmail.com","hash","player",3,310,"2025-01-12 16:30:00"
15,"Eric","Lopez","eric@gmail.com","hash","player",2,200,"2025-01-13 08:40:00"
16,"Joy","Lim","joy@gmail.com","hash","viewer",1,10,"2025-01-14 09:50:00"
17,"Arvin","Pascual","arvin@gmail.com","hash","operator",5,600,"2025-01-15 11:00:00"
18,"May","Rivera","may@gmail.com","hash","player",2,190,"2025-01-16 12:10:00"
19,"Ian","Domingo","ian@gmail.com","hash","player",1,60,"2025-01-17 13:20:00"
20,"Liza","Cruz","liza@gmail.com","hash","viewer",1,35,"2025-01-18 14:30:00"
21,"Ken","Soriano","ken@gmail.com","hash","player",3,280,"2025-01-19 15:40:00"
22,"Grace","Uy","grace@gmail.com","hash","admin",5,800,"2025-01-20 16:50:00"
